id_histology,id_xenium,overlap,size_pix_histology
104205,62271,25,25
104206,62267,18,18
104207,62269,25,30
104208,62273,24,24
104209,62274,24,24
104212,62280,23,23
104213,62281,24,24
104216,62279,26,26
104219,62272,21,21
104220,62291,19,19
104221,62289,13,13
104222,62292,19,19
104223,62270,29,30
104224,62290,20,20
104225,62300,14,14
104228,62306,13,16
104229,62299,25,25
104230,62301,28,28
104231,62302,12,12
104232,62307,9,9
104233,62297,19,19
104234,62298,17,17
104240,62308,28,28
104241,62313,27,27
104242,62312,14,14
104243,62315,17,17
104246,62322,18,19
104248,62321,12,14
104249,62319,13,13
104251,62320,20,20
104253,62332,13,13
104255,62330,15,15
104256,62331,19,19
104260,62339,24,24
104261,62340,23,23
104262,62329,19,19
104266,62342,20,20
104267,62344,24,24
104268,62345,18,19
104270,62343,15,15
104273,62338,19,19
104274,62353,19,19
104276,62356,20,20
104277,62354,16,16
104278,62363,19,19
104279,62355,20,20
104280,62364,19,19
104281,62361,23,23
104282,62362,22,22
104283,62369,16,16
104286,62370,19,19
104292,62368,26,26
104295,62377,19,19
104296,62375,17,17
104298,62385,27,27
104299,62386,16,16
104302,62384,13,13
104306,62392,18,18
104307,62393,19,21
104308,62409,18,24
104312,62406,21,21
104314,62403,20,20
104316,62407,42,42
104317,62404,22,22
104318,62405,18,18
104319,62410,25,25
104321,62420,25,27
104323,62422,21,21
104325,62421,20,20
104327,62419,19,19
104329,62429,24,24
104330,62427,22,22
104331,62428,25,25
104333,62426,16,18
104334,62434,25,25
104335,62443,14,14
